Date,Station I (Central West Bay),Station II (East Bay),Station IV (Central Bay) ,Station V (Northern West Bay),Station VIII (South Bay) ,Station XV (San Pedro),Station XVI (Sta. Rosa),Station XVII (Sanctuary),Station XVIII (Pagsanjan) ,,mean 
Oct-20,0.005,0.019,0.025,0.019,0.019,0.027,0.011,0.019,0.005,,0.016555556
Nov-20,0.005,0.005,0.005,0.005,0.005,0.016,0.005,0.005,0.005,,0.006222222
Dec-20,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.013,,0.005888889
Jan-21,0.034,0.022,0.019,0.028,0.023,0.022,0.028,0.023,0.024,,0.024777778
Feb-21,0.079,0.043,0.035,0.034,0.042,0.03,0.03,0.045,0.031,,0.041
Mar-21,0.059,0.038,0.005,0.005,0.042,0.005,0.014,0.005,0.005,,0.019777778
Apr-21,0.07175,0.04025,0.01375,0.01975,0.039,0.01625,0.023,0.00925,0.01025,,0.027027778
May-21,0.0845,0.0425,0.0225,0.0345,0.036,0.0275,0.032,0.0135,0.0155,,0.034277778
Jun-21,0.09725,0.04475,0.03125,0.04925,0.033,0.03875,0.041,0.01775,0.02075,,0.041527778
Jul-21,0.11,0.047,0.04,0.064,0.03,0.05,0.05,0.022,0.026,,0.048777778
Aug-21,0.03,0.03,0.03,0.03,0.03,0.03,0.12,0.046,0.03,,0.041777778
Sep-21,0.07,0.07,0.03,0.02,0.03,0.11,0.04,0.07,0.07,,0.056666667
Oct-21,0.35,0.05,0.01,0.02,0.01,0.02,0.05,0.04,0.02,,0.063333333
Nov-21,0.07,0.4,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,0.056111111
Dec-21,0.209,0.059,0.01,0.039,0.011,0.005,0.015,0.012,0.01,,0.041111111
Jan-22,0.3775,0.1135,0.1375,0.164,0.111,0.106,0.107,0.104,0.089,,0.1455
Feb-22,0.546,0.168,0.265,0.289,0.211,0.207,0.199,0.196,0.168,,0.249888889
Mar-22,0.07,0.02,0.04,0.02,0.01,0.005,0.01,0.23,0.005,,0.045555556
Apr-22,0.03,0.02,0.02,0.01,0.03,0.01,0.01,0.01,0.01,,0.016666667
May-22,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,,0.012222222
Jun-22,0.02,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.02,,0.015555556
Jul-22,0.09,0.13,0.04,0.08,0.5,0.08,0.11,0.02,0.02,,0.118888889
Aug-22,0.16,0.02,0.06,0.23,0.02,0.38,0.02,0.02,0.03,,0.104444444
Sep-22,0.07,0.07,0.01,0.03,0.04,0.1,0.03,0.04,0.06,,0.05
Oct-22,0.03,0.02,0.005,0.005,0.005,0.07,0.005,0.005,0.005,,0.016666667
Nov-22,0.04,0.18,0.005,0.01,0.005,0.005,0.02,0.04,0.01,,0.035
Dec-22,0.005,0.02,0.005,0.05,0.005,0.005,0.02,0.005,0.23,,0.038333333
